Industry,applyValue,receiveValue,intendValue
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,0.782,0.633,0.18
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AdministrativeAndSupportServiceActivities,0.201,0.12,0.089
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#ArtsEntertainmentAndRecreation,0.572,0.45,0.122
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Construction,0.135,0.057,0.032
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,0.085,0.038,0.098
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#HumanHealthAndSocialWorkActivities,0.134,0.092,0.042
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#InformationAndCommunication,0.082,0.031,0.07
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Manufacturing,0.14,0.079,0.081
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#ProfessionalScientificAndTechnicalActivities,0.126,0.078,0.073
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#TransportationAndStorage,0.241,0.145,0.096
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#WaterSupplySewerageWasteManagementAndRemediationActivities,0.157,0.043,0.071
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,0.446,0.334,0.093
