Industry,applyValue,receiveValue,intendValue
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,0.249,0.178,0.061
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AdministrativeAndSupportServiceActivities,0.218,0.144,0.063
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#ArtsEntertainmentAndRecreation,0.18,0.108,0.058
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Construction,0.06,0.021,0.05
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,0.022,*,*
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#HumanHealthAndSocialWorkActivities,0.106,0.07,0.035
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#InformationAndCommunication,0.036,0.017,0.029
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Manufacturing,0.048,0.026,0.028
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#ProfessionalScientificAndTechnicalActivities,0.049,0.022,0.023
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#TransportationAndStorage,0.064,0.025,0.021
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#WaterSupplySewerageWasteManagementAndRemediationActivities,0.057,0.014,0.029
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,0.133,0.091,0.042
