Industry,applyValue,receiveValue,intendValue
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,0.027,0.129,0.398
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AdministrativeAndSupportServiceActivities,0.139,0.206,0.45
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#ArtsEntertainmentAndRecreation,0.126,0.176,0.392
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Construction,0.117,0.27,0.422
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Education,0.484,0.228,0.421
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#HumanHealthAndSocialWorkActivities,0.556,0.141,0.585
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#InformationAndCommunication,0.373,0.127,0.587
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#Manufacturing,0.26,0.237,0.481
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#ProfessionalScientificAndTechnicalActivities,0.207,0.176,0.503
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#TransportationAndStorage,0.167,0.184,0.489
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#WaterSupplySewerageWasteManagementAndRemediationActivities,0.214,0.243,0.457
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#WholesaleAndRetailTrade;RepairOfMotorVehiclesAndMotorcycles,0.155,0.16,0.538
