Industry,predicate,num
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_AccreditedFinanceagreements_Percentage,0.206
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_BusinessRatesholiday_Percentage,0.782
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_CoronavirusJobRetentionScheme_Percentage,0.871
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_DeferringVATpayments_Percentage,0.806
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.249
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_HMRCTimeToPayscheme_Percentage,0.422
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_WeHaveNotAppliedForAnyOfTheseinitiatives_Percentage,0.027
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_AccreditedFinanceagreements_Percentage,0.122
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_BusinessRatesholiday_Percentage,0.18
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_CoronavirusJobRetentionScheme_Percentage,0.404
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_DeferringVATpayments_Percentage,0.235
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#AccommodationAndFoodServiceActivities,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.061
