IndustryGroup,predicate,num
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_AccreditedFinanceagreements_Percentage,0.099
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_BusinessRatesholiday_Percentage,0.274
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_CoronavirusJobRetentionScheme_Percentage,0.672
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_DeferringVATpayments_Percentage,0.564
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.112
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_HMRCTimeToPayscheme_Percentage,0.223
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_WeHaveNotAppliedForAnyOfTheseinitiatives_Percentage,0.207
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_AccreditedFinanceagreements_Percentage,0.08
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_BusinessRatesholiday_Percentage,0.091
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_CoronavirusJobRetentionScheme_Percentage,0.368
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_DeferringVATpayments_Percentage,0.19
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.039
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_HMRCTimeToPayscheme_Percentage,0.088
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_NoneOfTheabove_Percentage,0.482
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_AccreditedFinanceagreements_Percentage,0.018
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_BusinessRatesholiday_Percentage,0.191
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_CoronavirusJobRetentionScheme_Percentage,0.222
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_DeferringVATpayments_Percentage,0.427
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.07
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_HMRCTimeToPayscheme_Percentage,0.168
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#allWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_WehaventReceivedAnyThatWeAppliedfor_Percentage,0.189
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_AccreditedFinanceagreements_Percentage,0.079
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_BusinessRatesholiday_Percentage,0.279
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_CoronavirusJobRetentionScheme_Percentage,0.647
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_DeferringVATpayments_Percentage,0.571
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.073123
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_HMRCTimeToPayscheme_Percentage,0.222
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_WeHaveNotAppliedForAnyOfTheseinitiatives_Percentage,0.223
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_AccreditedFinanceagreements_Percentage,0.072
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_BusinessRatesholiday_Percentage,0.094
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_CoronavirusJobRetentionScheme_Percentage,0.37
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_DeferringVATpayments_Percentage,0.169
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.027
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_HMRCTimeToPayscheme_Percentage,0.078
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_NoneOfTheabove_Percentage,0.486
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_AccreditedFinanceagreements_Percentage,0.011
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_BusinessRatesholiday_Percentage,0.2
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_CoronavirusJobRetentionScheme_Percentage,0.224
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_DeferringVATpayments_Percentage,0.461
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.046
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_HMRCTimeToPayscheme_Percentage,0.168
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#largeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_WehaventReceivedAnyThatWeAppliedfor_Percentage,0.163
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_AccreditedFinanceagreements_Percentage,0.112
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_BusinessRatesholiday_Percentage,0.272
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_CoronavirusJobRetentionScheme_Percentage,0.687
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_DeferringVATpayments_Percentage,0.56
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.135
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_HMRCTimeToPayscheme_Percentage,0.224
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#apply_WeHaveNotAppliedForAnyOfTheseinitiatives_Percentage,0.198
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_AccreditedFinanceagreements_Percentage,0.085
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_BusinessRatesholiday_Percentage,0.089
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_CoronavirusJobRetentionScheme_Percentage,0.367
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_DeferringVATpayments_Percentage,0.202
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.046
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_HMRCTimeToPayscheme_Percentage,0.094
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#intend_NoneOfTheabove_Percentage,0.48
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_AccreditedFinanceagreements_Percentage,0.023
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_BusinessRatesholiday_Percentage,0.186
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_CoronavirusJobRetentionScheme_Percentage,0.221
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_DeferringVATpayments_Percentage,0.407
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_Government-fundedSmallBusinessGrantOrLoanschemes_Percentage,0.085
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_HMRCTimeToPayscheme_Percentage,0.168
http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#nonLargeWorkforceIndustryGroup,http://www.semanticweb.org/tianyiyuan/ontologies/comp6214/coursework1#receive_WehaventReceivedAnyThatWeAppliedfor_Percentage,0.205
